;Unnamed: 0;Bauteilbreite;Bauteilgewicht;Bauteillaenge;DOE_Simulation;Fuellprobleme;Kuehlzeit;Legobaustein;Max_Deformation;Max_Verzug;Max_Volumenschwindung;Nachdruck;Nachdruckzeit;Schmelzetemperatur;Testlauf;Volumenstrom;Wandtemperatur;Laenge;Breite;Hoehe;Volumen;Schussvolumen;Mittlere_Wanddicke;Max_Wanddicke;Min_Wanddicke;Fliessweglaenge;Oberflaeche;Ration_Oberflaeche_Volumen;Fliesswegwanddickenverhaeltnis;Ration_Min_Wanddicke_Max_Wanddicke;theoretische_Kuehlzeit;Plastifizierleistung;PACYNA1;PACYNA2;PACYNA3;Haupttraegheitsmomente1;Haupttraegheitsmomente2;Haupttraegheitsmomente3;N_Noppen_Reihe;N_Reihen;Sockelhoehe;Noppenhoehe
36;36;29.29132413;14.815;88.7647075;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.670886755;0.1499831229;13.93155575;173;14.1;226;25;100.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
37;37;29.29903277;14.818;88.76494282;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.6708539724;0.1464796662;13.920228;173;14.1;226;26;199.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
38;38;29.66470441;15.155;89.1196847;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.4881850183;0.1213170514;11.08882236;527;14.1;226;27;100.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
39;39;29.66744482;15.158;89.12050635;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.4874120355;0.122507751;11.07994366;527;14.1;226;28;199.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
40;40;29.30799817;14.818;88.75921183;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.673522234;0.1409053653;15.60598278;173;14.1;254;29;100.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
41;41;29.31427866;14.82;88.75742984;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.674157083;0.1375221312;15.57102108;173;14.1;254;30;199.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
42;42;29.66688539;15.155;89.12186549;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.4848679602;0.1345631927;12.24057007;527;14.1;254;31;100.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
43;43;29.67077996;15.158;89.1227191;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.4839650393;0.135964781;12.23761368;527;14.1;254;32;199.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
44;44;29.16705547;14.842;89.12250513;DOE1,txt;0.0;29.7;3x1_Lego_flach;0.5696252584;0.2862964272;14.51795483;173;4.9;226;33;100.3483;26;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
45;45;29.17556257;14.843;89.11536423;DOE1,txt;0.0;29.7;3x1_Lego_flach;0.5746415257;0.2820230126;14.53411865;173;4.9;226;34;199.3483;26;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
